title,domain,rss,category
Brave Blog,brave.com,https://brave.com/blog/index.xml,Brave
CNN,www.cnn.com,http://rss.cnn.com/rss/edition_world.rss,World News
The New York Times,www.nytimes.com,https://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml,Top News
BBC,www.bbc.co.uk,https://feeds.bbci.co.uk/news/rss.xml?edition=int,Top News
FOX News,www.foxnews.com,https://feeds.foxnews.com/foxnews/latest,Top News
The Guardian,www.theguardian.com,https://www.theguardian.com/world/rss,Top News
Washington Post,www.washingtonpost.com,https://www.washingtonpost.com/?outputType=rss,Top News
NBC News,www.nbcnews.com,https://feeds.nbcnews.com/nbcnews/public/news,Top News
ABC News,abcnews.go.com,https://abcnews.go.com/abcnews/topstories,Top News
Daily Mail,www.dailymail.co.uk,https://www.dailymail.co.uk/home/index.rss,Top News
New York Post,nypost.com,https://nypost.com/news/feed/,Top News
NPR,www.npr.org,https://feeds.npr.org/1001/rss.xml,Top News
WSJ,www.wsj.com,https://feeds.a.dj.com/rss/RSSWorldNews.xml,Top News
LA Times,www.latimes.com,https://www.latimes.com/local/rss2.0.xml,Top News
Newsweek,www.newsweek.com,https://www.newsweek.com/rss,Top News
Politico,www.politico.com,https://rss.politico.com/politics-news.xml,Top News
The Independent,www.independent.co.uk,https://www.independent.co.uk/rss,Top News
Breitbart,www.breitbart.com,https://feeds.feedburner.com/breitbart,Top News
The Hill,thehill.com,https://thehill.com/rss/syndicator/19110,Top News
The Washington Times,www.washingtontimes.com,https://www.washingtontimes.com/rss/headlines/news/,Top News
The Daily Beast,www.thedailybeast.com,https://feeds.feedburner.com/thedailybeast/articles,Top News
The Telegraph,www.telegraph.co.uk,https://www.telegraph.co.uk/news/rss.xml,Top News
Daily Caller,dailycaller.com,https://dailycaller.com/section/us/feed/,Top News
The Blaze,www.theblaze.com,https://www.theblaze.com/feeds/news.rss,Top News
CBC,www.cbc.ca,https://www.cbc.ca/cmlink/rss-topstories,Top News
Al Jazeera,www.aljazeera.com,https://www.aljazeera.com/xml/rss/all.xml,Top News
Sydney Morning Herald,www.smh.com.au,https://www.smh.com.au/rss/feed.xml,Top News
Axios,www.axios.com,https://api.axios.com/feed/,Top News
Der Spiegel,www.spiegel.de,https://www.spiegel.de/international/index.rss,Top News
Sky News,news.sky.com,https://feeds.skynews.com/feeds/rss/world.xml,Top News
The Boston Globe,www.bostonglobe.com,https://www.bostonglobe.com/rss/feedly.xml,Top News
Euronews,www.euronews.com,https://feeds.feedburner.com/euronews/en/home/,Top News
Financial Times,www.ft.com,https://www.ft.com/rss/home/uk,Top News
Mother Jones,www.motherjones.com,https://feeds.feedburner.com/motherjones/main,Top News
The Christian Science Monitor,www.csmonitor.com,https://rss.csmonitor.com/feeds/top,Top News
ProPublica,www.propublica.org,https://www.propublica.org/feeds/propublica/main,Top News
The New Republic,newrepublic.com,https://newrepublic.com/rss.xml,Top News
Democracy Now!,www.democracynow.org,https://www.democracynow.org/democracynow.rss,Top News
Foreign Policy,foreignpolicy.com,https://foreignpolicy.com/feed/,Top News
The Nation,www.thenation.com,https://www.thenation.com/feed/?post_type=article,Top News
HuffPost,www.huffpost.com,https://www.huffpost.com/section/world-news/feed,Top News
Yahoo Finance,www.barrons.com;www.marketwatch.com;www.investors.com;finance.yahoo.com;www.investopedia.com,https://finance.yahoo.com/rss/topstories,Business
Fast Company,www.fastcompany.com,https://feeds.feedburner.com/fastcompany/headlines,Business
Forbes,www.forbes.com,https://www.forbes.com/real-time/feed/,Business
WSJ - Markets,www.wsj.com,https://feeds.a.dj.com/rss/RSSMarketsMain.xml,Business
CNBC,www.cnbc.com,https://www.cnbc.com/id/100003114/device/rss/rss.html,Business
Business Insider,www.businessinsider.com;markets.businessinsider.com,https://feeds2.feedburner.com/businessinsider,Business
Entrepreneur,www.entrepreneur.com,https://feeds.feedburner.com/entrepreneur/latest,Business
Harvard Business Review,hbr.org,https://feeds.harvardbusiness.org/harvardbusiness/,Business
MarketWatch,www.marketwatch.com,https://feeds.marketwatch.com/marketwatch/topstories/,Business
Inc.com,www.inc.com,https://www.inc.com/rss/homepage.xml,Business
The Economist,www.economist.com,https://www.economist.com/business/rss.xml,Business
Freakonomics,freakonomics.com,https://freakonomics.com/feed/,Business
The Motley Fool,www.fool.com,https://www.fool.com/a/feeds/foolwatch?format=rss2&id=foolwatch&apikey=foolwatch-feed,Business
FOX Business,www.foxbusiness.com,https://feeds.foxbusiness.com/foxbusiness/latest,Business
Quartz,qz.com,https://cms.qz.com/feed/,Business
